,Unnamed: 0,Operateur,X,Y,2G,3G,4G
41109,41109,Orange,695093.0,6539857.0,1,0,1
41110,41110,Orange,695095.0,6459180.0,1,1,0
41111,41111,Orange,695101.0,6235150.0,1,1,0
41112,41112,Bouygue,695103.0,6539846.0,1,1,1
41113,41113,SFR,695103.0,6539850.0,1,1,1
41114,41114,Orange,695103.0,7068424.0,1,1,1
41115,41115,Bouygue,695105.0,6813336.0,1,1,1
41116,41116,SFR,695106.0,7068462.0,1,1,1
41117,41117,Free,695108.0,6539851.0,0,1,1
41118,41118,SFR,695125.0,6813332.0,1,1,0
41119,41119,Bouygue,695125.0,7068455.0,1,1,1
41120,41120,Free,695128.0,6921026.0,0,1,0
41121,41121,Orange,695130.0,6921026.0,1,1,0
41122,41122,Bouygue,695175.0,6219212.0,1,1,1
41123,41123,SFR,695175.0,6219212.0,1,1,1
41124,41124,Free,695181.0,6219203.0,0,1,1
41125,41125,Orange,695201.0,6249880.0,1,1,1
41126,41126,SFR,695221.0,6249880.0,1,1,1
41127,41127,Bouygue,695222.0,6249880.0,1,1,1
41128,41128,SFR,695223.0,7053090.0,1,1,1
41129,41129,Bouygue,695224.0,7053127.0,1,1,1
41130,41130,Free,695224.0,7053127.0,0,1,1
41131,41131,Orange,695231.0,6709837.0,1,1,1
41132,41132,Orange,695233.0,6236924.0,1,1,1
41133,41133,SFR,695235.0,6236901.0,1,1,1
41134,41134,Free,695236.0,6236881.0,0,1,1
41135,41135,Bouygue,695238.0,6236928.0,1,1,1
41136,41136,SFR,695294.0,7033504.0,0,1,0
41137,41137,Orange,695303.0,7053059.0,1,1,1
41138,41138,Orange,695309.0,6983140.0,1,1,1
41139,41139,Orange,695316.0,7001731.0,1,1,0
41140,41140,Free,695322.0,7036103.0,0,1,1
41141,41141,Orange,695324.0,7033503.0,1,1,1
41142,41142,SFR,695328.0,7036102.0,1,1,1
41143,41143,Orange,695331.0,7036106.0,1,1,1
41144,41144,Free,695353.0,6624929.0,0,1,1
41145,41145,Bouygue,695374.0,6624942.0,1,1,1
41146,41146,SFR,695374.0,6624942.0,1,1,1
41147,41147,Free,695398.0,6381910.0,0,1,0
41148,41148,SFR,695398.0,6381910.0,1,1,0
41149,41149,Orange,695399.0,6381910.0,1,1,0
41150,41150,Orange,695407.0,6807875.0,1,1,1
41151,41151,Bouygue,695430.0,6157921.0,1,1,1
41152,41152,SFR,695430.0,6157921.0,1,1,1
41153,41153,SFR,695446.0,6509480.0,1,1,0
41154,41154,Free,695447.0,6509480.0,0,1,0
41155,41155,Orange,695465.0,7052068.0,1,1,1
41156,41156,Bouygue,695467.0,6509565.0,1,1,0
41157,41157,Bouygue,695480.0,6888280.0,1,1,0
41158,41158,SFR,695480.0,6888280.0,1,1,0
41159,41159,Free,695481.0,6888281.0,0,1,0
41160,41160,Orange,695483.0,6888281.0,1,1,0
41161,41161,Orange,695491.0,6981651.0,1,1,1
41162,41162,Bouygue,695498.0,7051002.0,1,0,0
41163,41163,Bouygue,695519.0,7043360.0,1,1,1
41164,41164,Orange,695524.0,6509525.0,1,1,0
41165,41165,SFR,695524.0,6509525.0,0,1,0
41166,41166,Orange,695541.0,6178121.0,0,0,0
41167,41167,Bouygue,695542.0,6879053.0,1,1,0
41168,41168,Bouygue,695568.0,6178116.0,1,0,0
41169,41169,Orange,695581.0,6798566.0,1,1,0
41170,41170,Bouygue,695595.0,6202134.0,1,1,1
41171,41171,Bouygue,695609.0,6983026.0,1,1,1
41172,41172,SFR,695609.0,6983026.0,1,1,1
41173,41173,Free,695610.0,6983026.0,0,1,1
41174,41174,Bouygue,695610.0,7017270.0,1,1,1
41175,41175,Free,695616.0,6202168.0,0,1,1
41176,41176,Free,695617.0,7017296.0,0,1,1
41177,41177,Bouygue,695619.0,7036202.0,1,1,1
41178,41178,SFR,695624.0,7017310.0,1,1,0
41179,41179,SFR,695633.0,6153569.0,1,1,1
41180,41180,Orange,695643.0,6404670.0,1,1,0
41181,41181,SFR,695643.0,6404670.0,1,1,0
41182,41182,Free,695646.0,6183934.0,0,1,1
41183,41183,Orange,695646.0,6879056.0,1,1,1
41184,41184,SFR,695648.0,6202169.0,1,1,1
41185,41185,SFR,695658.0,7047903.0,1,1,0
41186,41186,Orange,695660.0,7035499.0,0,1,1
41187,41187,Free,695662.0,6404673.0,0,1,0
41188,41188,Free,695672.0,7047877.0,0,1,0
41189,41189,Orange,695673.0,6158751.0,1,1,1
41190,41190,Bouygue,695692.0,6153611.0,1,1,1
41191,41191,Orange,695700.0,7039437.0,1,1,1
41192,41192,Bouygue,695704.0,6183979.0,1,1,1
41193,41193,SFR,695704.0,6183979.0,1,1,1
41194,41194,Bouygue,695708.0,7047976.0,1,1,1
41195,41195,Orange,695710.0,7047978.0,1,1,1
41196,41196,Free,695714.0,7035451.0,0,1,0
41197,41197,Orange,695728.0,7043498.0,1,1,1
41198,41198,Orange,695735.0,6650076.0,1,1,0
41199,41199,Free,695764.0,6936817.0,0,1,1
41200,41200,Orange,695785.0,6962483.0,1,1,0
41201,41201,Orange,695794.0,6184013.0,1,1,1
41202,41202,Orange,695794.0,6240126.0,1,1,1
41203,41203,Orange,695822.0,7019690.0,1,1,0
41204,41204,SFR,695845.0,6169595.0,1,1,1
41205,41205,Bouygue,695846.0,7034253.0,1,1,1
41206,41206,Bouygue,695862.0,6974975.0,1,1,1
41207,41207,SFR,695862.0,6974980.0,1,1,1
41208,41208,Free,695863.0,6974991.0,0,1,0
41209,41209,Bouygue,695878.0,6716038.0,1,1,0
41210,41210,SFR,695878.0,6716038.0,1,1,0
41211,41211,SFR,695878.0,6876541.0,1,1,0
41212,41212,Orange,695879.0,6716037.0,1,1,0
41213,41213,Free,695879.0,6716038.0,0,1,0
41214,41214,SFR,695906.0,6209800.0,1,1,1
41215,41215,Free,695926.0,6209807.0,0,1,1
41216,41216,Bouygue,695932.0,6209812.0,1,1,1
41217,41217,Bouygue,695948.0,6257597.0,1,1,1
41218,41218,SFR,695948.0,6257597.0,1,1,1
41219,41219,Orange,695949.0,6515770.0,1,0,0
41220,41220,Bouygue,695959.0,6995115.0,1,0,0
41221,41221,Orange,695963.0,7044687.0,0,1,1
41222,41222,Orange,695969.0,6625420.0,1,0,0
41223,41223,Orange,695989.0,6867620.0,1,1,1
41224,41224,SFR,696004.0,6867662.0,1,1,0
41225,41225,Bouygue,696006.0,6867659.0,1,1,0
41226,41226,Bouygue,696020.0,6524054.0,1,1,1
41227,41227,SFR,696020.0,6524059.0,1,1,1
41228,41228,Bouygue,696021.0,6524057.0,1,1,0
41229,41229,Orange,696039.0,6524042.0,1,1,1
41230,41230,SFR,696053.0,7039881.0,1,1,1
41231,41231,Orange,696055.0,6706724.0,1,1,0
41232,41232,Bouygue,696061.0,6706734.0,1,1,1
41233,41233,SFR,696064.0,6706733.0,1,1,1
41234,41234,Free,696069.0,7023673.0,0,1,1
41235,41235,Bouygue,696074.0,7071233.0,1,1,1
41236,41236,SFR,696074.0,7071233.0,1,1,1
41237,41237,SFR,696075.0,6895654.0,1,1,1
41238,41238,Orange,696081.0,6895682.0,1,1,0
41239,41239,Bouygue,696088.0,6895667.0,1,0,0
41240,41240,Orange,696133.0,6270815.0,1,1,1
41241,41241,SFR,696140.0,6186667.0,1,1,1
41242,41242,Bouygue,696141.0,6186637.0,1,1,1
41243,41243,Free,696142.0,6186637.0,0,1,1
41244,41244,Orange,696143.0,6186637.0,1,1,1
41245,41245,Orange,696145.0,7024170.0,0,1,1
41246,41246,SFR,696146.0,6223875.0,1,1,1
41247,41247,Orange,696149.0,6976668.0,1,1,0
41248,41248,Free,696151.0,6223873.0,0,1,1
41249,41249,Bouygue,696155.0,6223856.0,1,1,1
41250,41250,Orange,696156.0,6223855.0,1,1,1
41251,41251,Orange,696157.0,7061223.0,1,1,1
41252,41252,Bouygue,696206.0,6606065.0,1,1,1
41253,41253,SFR,696206.0,6606065.0,1,1,1
41254,41254,Orange,696215.0,6580036.0,1,1,0
41255,41255,Orange,696231.0,6228416.0,1,1,0
41256,41256,SFR,696232.0,6228417.0,1,1,1
41257,41257,Bouygue,696234.0,6228430.0,1,1,1
41258,41258,Free,696238.0,7069875.0,0,1,0
41259,41259,SFR,696255.0,6274810.0,1,1,1
41260,41260,Bouygue,696261.0,6874003.0,1,1,1
41261,41261,SFR,696262.0,6874006.0,0,1,0
41262,41262,Free,696271.0,6563446.0,0,1,1
41263,41263,Bouygue,696273.0,6274857.0,1,1,1
41264,41264,Free,696274.0,6274859.0,0,1,1
41265,41265,Free,696278.0,6874019.0,0,1,1
41266,41266,SFR,696287.0,6765745.0,1,1,0
41267,41267,Bouygue,696292.0,6563538.0,1,1,1
41268,41268,SFR,696292.0,6563538.0,1,1,1
41269,41269,Orange,696293.0,6874023.0,1,1,1
41270,41270,Orange,696307.0,7039946.0,0,0,1
41271,41271,Orange,696316.0,6496137.0,1,1,1
41272,41272,Free,696318.0,6234811.0,0,1,1
41273,41273,Bouygue,696329.0,6496214.0,1,1,1
41274,41274,SFR,696329.0,6496214.0,1,1,1
41275,41275,SFR,696347.0,6807112.0,0,1,0
41276,41276,Orange,696351.0,7036942.0,1,1,1
41277,41277,Bouygue,696353.0,7036938.0,1,1,1
41278,41278,Orange,696355.0,6214790.0,1,1,1
41279,41279,Free,696357.0,6806046.0,0,1,1
41280,41280,SFR,696369.0,6911997.0,1,1,1
41281,41281,Orange,696473.0,6980746.0,1,1,0
41282,41282,Bouygue,696478.0,6266474.0,1,1,0
41283,41283,SFR,696478.0,6266474.0,1,1,0
41284,41284,Free,696478.0,6266475.0,0,1,0
41285,41285,Orange,696479.0,6266474.0,1,1,0
41286,41286,Bouygue,696512.0,6649515.0,1,1,1
41287,41287,SFR,696512.0,6649515.0,1,1,1
41288,41288,Free,696513.0,6649515.0,0,1,1
41289,41289,Orange,696514.0,7035417.0,1,1,0
41290,41290,Bouygue,696516.0,6810610.0,1,1,1
41291,41291,SFR,696516.0,6810610.0,1,1,1
41292,41292,Free,696522.0,7043300.0,0,1,1
41293,41293,Orange,696541.0,7043312.0,0,1,0
41294,41294,Bouygue,696549.0,6179028.0,1,1,1
41295,41295,SFR,696557.0,6179024.0,1,1,1
41296,41296,Orange,696637.0,6809375.0,0,1,1
41297,41297,Orange,696650.0,6790782.0,1,1,1
41298,41298,Free,696655.0,6809311.0,0,1,1
41299,41299,SFR,696668.0,6809318.0,1,1,1
41300,41300,Orange,696669.0,7040405.0,1,1,1
41301,41301,Bouygue,696673.0,6809332.0,1,1,1
41302,41302,SFR,696678.0,6790787.0,1,1,0
41303,41303,Free,696678.0,7040409.0,0,1,1
41304,41304,SFR,696678.0,7040413.0,1,1,1
41305,41305,Bouygue,696679.0,7040416.0,1,1,1
41306,41306,Bouygue,696686.0,6460567.0,1,1,1
41307,41307,SFR,696686.0,6460567.0,1,1,1
41308,41308,Free,696687.0,6460568.0,0,1,1
41309,41309,Orange,696690.0,6160669.0,1,1,0
41310,41310,Bouygue,696701.0,6739279.0,0,1,0
41311,41311,SFR,696701.0,6739279.0,0,1,0
41312,41312,Orange,696702.0,6739279.0,0,1,0
41313,41313,Free,696702.0,6810791.0,0,1,1
41314,41314,Bouygue,696729.0,6659075.0,1,1,1
41315,41315,Bouygue,696731.0,6733626.0,1,1,1
41316,41316,SFR,696746.0,6733624.0,1,1,1
41317,41317,SFR,696771.0,6659112.0,1,1,0
41318,41318,Orange,696783.0,7028681.0,1,1,1
